%Runtime 20151211,  Coefs: 0.9806 / 0.077
%nrec yyyy MM dd hh mm ss lat lon Ts
327 2015 10 11 03 40 39 36.92552 -75.96816 19.962
328 2015 10 11 03 43 46 36.91994 -75.96185 19.971
329 2015 10 11 03 46 54 36.91384 -75.95617 19.970
330 2015 10 11 03 53 08 36.90160 -75.94490 19.988
331 2015 10 11 03 59 22 36.88940 -75.93392 19.853
332 2015 10 11 04 14 56 36.85487 -75.91573 19.904
333 2015 10 11 04 21 11 36.84174 -75.90932 19.961
334 2015 10 11 04 30 32 36.82202 -75.89977 19.957
335 2015 10 11 04 39 53 36.80233 -75.89046 19.904
336 2015 10 11 04 43 01 36.79577 -75.88740 19.963
337 2015 10 11 04 49 15 36.78285 -75.88107 19.986
338 2015 10 11 04 52 21 36.77649 -75.87793 19.951
339 2015 10 11 04 55 28 36.77016 -75.87470 19.925
340 2015 10 11 05 04 48 36.74996 -75.86406 19.916
341 2015 10 11 05 11 01 36.73554 -75.85735 20.027
342 2015 10 11 05 17 15 36.72097 -75.85082 19.988
343 2015 10 11 05 23 28 36.70644 -75.84467 20.249
344 2015 10 11 05 29 41 36.69301 -75.83901 20.218
345 2015 10 11 05 32 48 36.68619 -75.83604 20.130
346 2015 10 11 05 39 02 36.67293 -75.82965 20.276
347 2015 10 11 05 45 15 36.65966 -75.82330 20.366
348 2015 10 11 05 51 29 36.64614 -75.81691 20.319
349 2015 10 11 05 54 37 36.63937 -75.81370 20.374
350 2015 10 11 05 57 44 36.63253 -75.81048 20.391
351 2015 10 11 06 00 52 36.62571 -75.80726 20.427
352 2015 10 11 06 13 18 36.59834 -75.79420 20.331
353 2015 10 11 06 22 39 36.57763 -75.78438 20.444
354 2015 10 11 06 28 53 36.56365 -75.77795 20.498
355 2015 10 11 06 41 19 36.53546 -75.76457 20.384
356 2015 10 11 06 44 26 36.52872 -75.76081 20.356
357 2015 10 11 06 47 32 36.52199 -75.75719 20.394
358 2015 10 11 06 50 39 36.51518 -75.75352 20.372
359 2015 10 11 06 56 54 36.50146 -75.74602 20.289
360 2015 10 11 07 00 01 36.49472 -75.74238 20.346
361 2015 10 11 07 06 14 36.48109 -75.73522 20.405
362 2015 10 11 07 15 33 36.46139 -75.72465 20.388
363 2015 10 11 07 37 20 36.41709 -75.69991 20.526
364 2015 10 11 07 40 27 36.41087 -75.69633 20.604
365 2015 10 11 07 43 33 36.40465 -75.69282 20.589
366 2015 10 11 07 46 40 36.39848 -75.68929 20.620
367 2015 10 11 07 49 46 36.39228 -75.68571 20.716
368 2015 10 11 07 56 00 36.37996 -75.67861 20.773
369 2015 10 11 08 05 20 36.36058 -75.66936 20.853
370 2015 10 11 08 08 27 36.35410 -75.66632 20.934
371 2015 10 11 08 17 47 36.33473 -75.65728 21.016
372 2015 10 11 08 20 54 36.32835 -75.65434 21.038
373 2015 10 11 08 24 01 36.32197 -75.65129 21.147
374 2015 10 11 08 27 08 36.31557 -75.64825 21.168
375 2015 10 11 08 33 22 36.30278 -75.64222 21.224
376 2015 10 11 08 39 36 36.29005 -75.63627 21.422
377 2015 10 11 08 45 51 36.27739 -75.63039 21.460
378 2015 10 11 08 55 12 36.25819 -75.62133 21.374
379 2015 10 11 09 01 25 36.24521 -75.61504 21.422
380 2015 10 11 09 04 32 36.23875 -75.61193 21.333
381 2015 10 11 09 35 46 36.18509 -75.58302 21.383
382 2015 10 11 09 38 53 36.18154 -75.58166 21.331
383 2015 10 11 09 42 00 36.17783 -75.58522 21.326
384 2015 10 11 11 42 05 36.17068 -75.57126 21.304
385 2015 10 11 11 45 12 36.17415 -75.57026 21.330
386 2015 10 11 11 48 18 36.17409 -75.57027 21.333
387 2015 10 11 11 51 25 36.17428 -75.57028 21.341
388 2015 10 11 11 57 37 36.17480 -75.57018 21.319
389 2015 10 11 12 06 56 36.17518 -75.57009 21.338
390 2015 10 11 12 10 03 36.17521 -75.57006 21.257
391 2015 10 11 12 19 21 36.17635 -75.56975 21.271
392 2015 10 11 12 22 28 36.18154 -75.56794 21.330
